"Order"	"Family"	"Genus"	"Species"	"Common names (Eng)"	"Red List status"	"genus-order"	"species-order"
"ANURA"	"ALLOPHRYNIDAE"	"Allophryne"	"ruthveni"	"Tukeit Hill Frog"	"LC"	0	0
"ANURA"	"ALSODIDAE"	"Alsodes"	"barrioi"	"Cabreria Spiny-chest Frog"	"VU"	1	4
"ANURA"	"ALSODIDAE"	"Alsodes"	"gargola"	"Tonchek Spiny-chest Frog"	"LC"	1	6
"ANURA"	"ALSODIDAE"	"Alsodes"	"montanus"	"Mountain Spiny-chest Frog"	"CR"	1	0
"ANURA"	"ALSODIDAE"	"Alsodes"	"nodosus"	"Black Spiny-chest Frog"	"NT"	1	5
"ANURA"	"ALSODIDAE"	"Alsodes"	"pehuenche"	"Pehuenche Spiny-chest Frog"	"CR"	1	1
"ANURA"	"ALSODIDAE"	"Alsodes"	"tumultuosus"		"CR"	1	2
"ANURA"	"ALSODIDAE"	"Alsodes"	"vanzolinii"	"Vanzolini's Spiny-chest Frog"	"CR"	1	3
"ANURA"	"ALSODIDAE"	"Eupsophus"	"calcaratus"	"Chiloe Island Ground Frog"	"LC"	2	7
"ANURA"	"ALSODIDAE"	"Eupsophus"	"contulmoensis"	"Contulmo Ground Frog"	"EN"	2	1
"ANURA"	"ALSODIDAE"	"Eupsophus"	"emiliopugini"	"Emilio's Ground Frog"	"LC"	2	8
"ANURA"	"ALSODIDAE"	"Eupsophus"	"insularis"	"Mocha Island Ground Frog"	"CR"	2	0
"ANURA"	"ALSODIDAE"	"Eupsophus"	"migueli"	"Miguel's Ground Frog"	"EN"	2	2
"ANURA"	"ALSODIDAE"	"Eupsophus"	"nahuelbutensis"	"Nahuelbuta Ground Frog"	"EN"	2	3
"ANURA"	"ALSODIDAE"	"Eupsophus"	"queulensis"		"VU"	2	4
"ANURA"	"ALSODIDAE"	"Eupsophus"	"roseus"	"Rosy Ground Frog"	"NT"	2	5
"ANURA"	"ALSODIDAE"	"Eupsophus"	"vertebralis"	"Valdivia Ground Frog"	"NT"	2	6
"ANURA"	"ALSODIDAE"	"Limnomedusa"	"macroglossa"	"Rapids Frog"	"LC"	3	0
"ANURA"	"ALYTIDAE"	"Alytes"	"cisternasii"	"Iberian Midwife Toad"	"NT"	4	2
"ANURA"	"ALYTIDAE"	"Alytes"	"dickhilleni"	"Betic Midwife Toad"	"VU"	4	0
"ANURA"	"ALYTIDAE"	"Alytes"	"maurus"		"NT"	4	3
"ANURA"	"ALYTIDAE"	"Alytes"	"muletensis"	"Mallorcan Midwife Toad"	"VU"	4	1
"ANURA"	"ALYTIDAE"	"Alytes"	"obstetricans"	"Common Midwife Toad"	"LC"	4	4
"ANURA"	"ALYTIDAE"	"Discoglossus"	"galganoi"	"Iberian Painted Frog"	"LC"	5	3
"ANURA"	"ALYTIDAE"	"Discoglossus"	"jeanneae"	"Spanish Painted Frog"	"NT"	5	1
"ANURA"	"ALYTIDAE"	"Discoglossus"	"montalentii"	"Corsican Painted Frog"	"NT"	5	2
"ANURA"	"ALYTIDAE"	"Discoglossus"	"nigriventer"	"Hula Painted Frog"	"CR"	5	0
"ANURA"	"ALYTIDAE"	"Discoglossus"	"pictus"	"Painted Frog"	"LC"	5	4
"ANURA"	"ALYTIDAE"	"Discoglossus"	"sardus"	"Tyrrhenian Painted Frog"	"LC"	5	5
"ANURA"	"ALYTIDAE"	"Discoglossus"	"scovazzi"		"LC"	5	6
"ANURA"	"AROMOBATIDAE"	"Allobates"	"algorei"	"Spotted nurse frog"	"LC"	6	11
"ANURA"	"AROMOBATIDAE"	"Allobates"	"brunneus"		"LC"	6	12
"ANURA"	"AROMOBATIDAE"	"Allobates"	"chalcopis"	"Martinique Volcano Frog"	"VU"	6	4
"ANURA"	"AROMOBATIDAE"	"Allobates"	"femoralis"		"LC"	6	13
"ANURA"	"AROMOBATIDAE"	"Allobates"	"granti"		"LC"	6	14
"ANURA"	"AROMOBATIDAE"	"Allobates"	"humilis"		"VU"	6	5
"ANURA"	"AROMOBATIDAE"	"Allobates"	"insperatus"		"LC"	6	15
"ANURA"	"AROMOBATIDAE"	"Allobates"	"juanii"		"CR"	6	0
"ANURA"	"AROMOBATIDAE"	"Allobates"	"kingsburyi"		"EN"	6	1
"ANURA"	"AROMOBATIDAE"	"Allobates"	"mandelorum"		"EN"	6	2
"ANURA"	"AROMOBATIDAE"	"Allobates"	"marchesianus"		"LC"	6	16
"ANURA"	"AROMOBATIDAE"	"Allobates"	"mcdiarmidi"		"NT"	6	9
"ANURA"	"AROMOBATIDAE"	"Allobates"	"myersi"		"LC"	6	17
"ANURA"	"AROMOBATIDAE"	"Allobates"	"niputidea"		"LC"	6	18
"ANURA"	"AROMOBATIDAE"	"Allobates"	"olfersioides"		"VU"	6	6
"ANURA"	"AROMOBATIDAE"	"Allobates"	"paleovarzensis"		"NT"	6	10
"ANURA"	"AROMOBATIDAE"	"Allobates"	"pittieri"		"LC"	6	19
"ANURA"	"AROMOBATIDAE"	"Allobates"	"ranoides"		"EN"	6	3
"ANURA"	"AROMOBATIDAE"	"Allobates"	"subfolionidificans"		"VU"	6	7
"ANURA"	"AROMOBATIDAE"	"Allobates"	"talamancae"		"LC"	6	20
"ANURA"	"AROMOBATIDAE"	"Allobates"	"trilineatus"		"LC"	6	21
"ANURA"	"AROMOBATIDAE"	"Allobates"	"wayuu"		"VU"	6	8
"ANURA"	"AROMOBATIDAE"	"Allobates"	"zaparo"	"Sanguine Poison Frog, Zaparo's Poison Frog"	"LC"	6	22
"ANURA"	"AROMOBATIDAE"	"Anomaloglossus"	"beebei"		"VU"	7	0
"ANURA"	"AROMOBATIDAE"	"Anomaloglossus"	"breweri"		"VU"	7	1
"ANURA"	"AROMOBATIDAE"	"Anomaloglossus"	"degranvillei"		"LC"	7	3
"ANURA"	"AROMOBATIDAE"	"Anomaloglossus"	"kaiei"		"LC"	7	4
"ANURA"	"AROMOBATIDAE"	"Anomaloglossus"	"murisipanensis"		"VU"	7	2
"ANURA"	"AROMOBATIDAE"	"Anomaloglossus"	"stepheni"		"LC"	7	5
"ANURA"	"AROMOBATIDAE"	"Aromobates"	"alboguttatus"		"EN"	8	3
"ANURA"	"AROMOBATIDAE"	"Aromobates"	"duranti"		"EN"	8	4
"ANURA"	"AROMOBATIDAE"	"Aromobates"	"haydeeae"		"EN"	8	5
"ANURA"	"AROMOBATIDAE"	"Aromobates"	"leopardalis"		"CR"	8	0
"ANURA"	"AROMOBATIDAE"	"Aromobates"	"mayorgai"		"EN"	8	6
"ANURA"	"AROMOBATIDAE"	"Aromobates"	"meridensis"		"CR"	8	1
"ANURA"	"AROMOBATIDAE"	"Aromobates"	"molinarii"		"EN"	8	7
"ANURA"	"AROMOBATIDAE"	"Aromobates"	"nocturnus"	"Skunk Frog"	"CR"	8	2
"ANURA"	"AROMOBATIDAE"	"Aromobates"	"orostoma"		"EN"	8	8
"ANURA"	"AROMOBATIDAE"	"Aromobates"	"saltuensis"		"EN"	8	9
"ANURA"	"AROMOBATIDAE"	"Aromobates"	"serranus"		"EN"	8	10
"ANURA"	"AROMOBATIDAE"	"Mannophryne"	"caquetio"		"CR"	9	0
"ANURA"	"AROMOBATIDAE"	"Mannophryne"	"collaris"		"EN"	9	4
"ANURA"	"AROMOBATIDAE"	"Mannophryne"	"cordilleriana"		"CR"	9	1
"ANURA"	"AROMOBATIDAE"	"Mannophryne"	"herminae"		"NT"	9	11
"ANURA"	"AROMOBATIDAE"	"Mannophryne"	"lamarcai"		"CR"	9	2
"ANURA"	"AROMOBATIDAE"	"Mannophryne"	"leonardoi"		"EN"	9	5
"ANURA"	"AROMOBATIDAE"	"Mannophryne"	"neblina"		"CR"	9	3
"ANURA"	"AROMOBATIDAE"	"Mannophryne"	"olmonae"	"Bloody Bay Poison Frog, Bloody Bay Stream Frog , Tobago Stream Frog"	"VU"	9	9
"ANURA"	"AROMOBATIDAE"	"Mannophryne"	"riveroi"		"EN"	9	6
"ANURA"	"AROMOBATIDAE"	"Mannophryne"	"trinitatis"	"Yellow-throated Frog"	"VU"	9	10
"ANURA"	"AROMOBATIDAE"	"Mannophryne"	"trujillensis"		"EN"	9	7
"ANURA"	"AROMOBATIDAE"	"Mannophryne"	"venezuelensis"		"NT"	9	12
"ANURA"	"AROMOBATIDAE"	"Mannophryne"	"yustizi"		"EN"	9	8
"ANURA"	"AROMOBATIDAE"	"Prostherapis"	"dunni"		"CR"	10	0
"ANURA"	"AROMOBATIDAE"	"Rheobates"	"palmatus"		"LC"	11	0
"ANURA"	"ARTHROLEPTIDAE"	"Arthroleptis"	"adelphus"		"LC"	12	14
"ANURA"	"ARTHROLEPTIDAE"	"Arthroleptis"	"adolfifriederici"	"Rugege Forest Squeaker Frog, Adolf Friedrich's Squeaker Frog"	"LC"	12	15
"ANURA"	"ARTHROLEPTIDAE"	"Arthroleptis"	"affinis"		"LC"	12	16
"ANURA"	"ARTHROLEPTIDAE"	"Arthroleptis"	"crusculum"	"Guinea Screeching Frog"	"EN"	12	3
"ANURA"	"ARTHROLEPTIDAE"	"Arthroleptis"	"fichika"	"Hidden Squeaker Frog"	"EN"	12	4
"ANURA"	"ARTHROLEPTIDAE"	"Arthroleptis"	"francei"		"EN"	12	5
"ANURA"	"ARTHROLEPTIDAE"	"Arthroleptis"	"kidogo"	"Tiny Squeaker Frog"	"CR"	12	0
"ANURA"	"ARTHROLEPTIDAE"	"Arthroleptis"	"krokosua"	"Krokosua Squeaking Frog"	"EN"	12	6
