"Order"	"Family"	"Genus"	"Species"	"Common names (Eng)"	"Red List status"	"genus-order"	"species-order"
"ANSERIFORMES"	"ANATIDAE"	"Aix"	"sponsa"	"Wood Duck"	"LC"	0	0
"ANSERIFORMES"	"ANATIDAE"	"Aix"	"galericulata"	"Mandarin Duck"	"LC"	0	1
"ANSERIFORMES"	"ANATIDAE"	"Alopochen"	"aegyptiaca"	"Egyptian Goose"	"LC"	1	0
"ANSERIFORMES"	"ANATIDAE"	"Amazonetta"	"brasiliensis"	"Brazilian Teal"	"LC"	2	0
"ANSERIFORMES"	"ANATIDAE"	"Anas"	"capensis"	"Cape Teal"	"LC"	3	10
"ANSERIFORMES"	"ANATIDAE"	"Anas"	"strepera"	"Gadwall"	"LC"	3	11
"ANSERIFORMES"	"ANATIDAE"	"Anas"	"falcata"	"Falcated Duck"	"NT"	3	9
"ANSERIFORMES"	"ANATIDAE"	"Anas"	"penelope"	"Eurasian Wigeon"	"LC"	3	12
"ANSERIFORMES"	"ANATIDAE"	"Anas"	"americana"	"American Wigeon"	"LC"	3	13
"ANSERIFORMES"	"ANATIDAE"	"Anas"	"sibilatrix"	"Chiloe Wigeon"	"LC"	3	14
"ANSERIFORMES"	"ANATIDAE"	"Anas"	"sparsa"	"African Black Duck"	"LC"	3	15
"ANSERIFORMES"	"ANATIDAE"	"Anas"	"rubripes"	"American Black Duck"	"LC"	3	16
"ANSERIFORMES"	"ANATIDAE"	"Anas"	"fulvigula"	"Mottled Duck"	"LC"	3	17
"ANSERIFORMES"	"ANATIDAE"	"Anas"	"platyrhynchos"	"Mallard"	"LC"	3	18
"ANSERIFORMES"	"ANATIDAE"	"Anas"	"wyvilliana"	"Hawaiian Duck"	"EN"	3	1
"ANSERIFORMES"	"ANATIDAE"	"Anas"	"laysanensis"	"Laysan Duck"	"CR"	3	0
"ANSERIFORMES"	"ANATIDAE"	"Anas"	"poecilorhyncha"	"Western Spot-billed Duck"	"LC"	3	19
"ANSERIFORMES"	"ANATIDAE"	"Anas"	"zonorhyncha"	"Eastern Spot-billed Duck"	"LC"	3	20
"ANSERIFORMES"	"ANATIDAE"	"Anas"	"luzonica"	"Philippine Duck"	"VU"	3	6
"ANSERIFORMES"	"ANATIDAE"	"Anas"	"superciliosa"	"Pacific Black Duck"	"LC"	3	21
"ANSERIFORMES"	"ANATIDAE"	"Anas"	"undulata"	"Yellow-billed Duck"	"LC"	3	22
"ANSERIFORMES"	"ANATIDAE"	"Anas"	"melleri"	"Meller's Duck"	"EN"	3	2
"ANSERIFORMES"	"ANATIDAE"	"Anas"	"discors"	"Blue-winged Teal"	"LC"	3	23
"ANSERIFORMES"	"ANATIDAE"	"Anas"	"cyanoptera"	"Cinnamon Teal"	"LC"	3	24
"ANSERIFORMES"	"ANATIDAE"	"Anas"	"smithii"	"Cape Shoveler"	"LC"	3	25
"ANSERIFORMES"	"ANATIDAE"	"Anas"	"platalea"	"Red Shoveler"	"LC"	3	26
"ANSERIFORMES"	"ANATIDAE"	"Anas"	"rhynchotis"	"Australasian Shoveler"	"LC"	3	27
"ANSERIFORMES"	"ANATIDAE"	"Anas"	"clypeata"	"Northern Shoveler"	"LC"	3	28
