"Order"	"Family"	"Genus"	"Species"	"Common names (Eng)"	"Red List status"	"genus-order"	"species-order"
"AFROSORICIDA"	"CHRYSOCHLORIDAE"	"Amblysomus"	"corriae"	"Fynbos Golden Mole"	"NT"	0	2
"AFROSORICIDA"	"CHRYSOCHLORIDAE"	"Amblysomus"	"hottentotus"	"Hottentot Golden Mole, Zulu Golden Mole"	"LC"	0	4
"AFROSORICIDA"	"CHRYSOCHLORIDAE"	"Amblysomus"	"marleyi"	"Marley's Golden Mole"	"EN"	0	0
"AFROSORICIDA"	"CHRYSOCHLORIDAE"	"Amblysomus"	"robustus"	"Robust Golden Mole"	"VU"	0	1
"AFROSORICIDA"	"CHRYSOCHLORIDAE"	"Amblysomus"	"septentrionalis"	"Highveld Golden Mole"	"NT"	0	3
"AFROSORICIDA"	"CHRYSOCHLORIDAE"	"Calcochloris"	"obtusirostris"	"Yellow Golden Mole"	"LC"	1	0
"AFROSORICIDA"	"CHRYSOCHLORIDAE"	"Carpitalpa"	"arendsi"	"Arend's Golden Mole"	"VU"	2	0
"AFROSORICIDA"	"CHRYSOCHLORIDAE"	"Chlorotalpa"	"duthieae"	"Duthie's Golden Mole"	"VU"	3	0
"AFROSORICIDA"	"CHRYSOCHLORIDAE"	"Chlorotalpa"	"sclateri"	"Sclater's Golden Mole"	"LC"	3	1
"AFROSORICIDA"	"CHRYSOCHLORIDAE"	"Chrysochloris"	"asiatica"	"Cape Golden Mole"	"LC"	4	0
"AFROSORICIDA"	"CHRYSOCHLORIDAE"	"Chrysochloris"	"stuhlmanni"	"Stuhlmann's Golden Mole"	"LC"	4	1
"AFROSORICIDA"	"CHRYSOCHLORIDAE"	"Chrysospalax"	"trevelyani"	"Giant Golden Mole"	"EN"	5	0
"AFROSORICIDA"	"CHRYSOCHLORIDAE"	"Chrysospalax"	"villosus"	"Rough-haired Golden Mole"	"VU"	5	1
"AFROSORICIDA"	"CHRYSOCHLORIDAE"	"Cryptochloris"	"wintoni"	"De Winton's Golden Mole"	"CR"	6	0
"AFROSORICIDA"	"CHRYSOCHLORIDAE"	"Cryptochloris"	"zyli"	"Van Zyl's Golden Mole"	"EN"	6	1
"AFROSORICIDA"	"CHRYSOCHLORIDAE"	"Eremitalpa"	"granti"	"Grant's Golden Mole"	"LC"	7	0
"AFROSORICIDA"	"CHRYSOCHLORIDAE"	"Neamblysomus"	"gunningi"	"Gunning's Golden Mole"	"EN"	8	0
"AFROSORICIDA"	"CHRYSOCHLORIDAE"	"Neamblysomus"	"julianae"	"Juliana's Golden Mole"	"VU"	8	1
"AFROSORICIDA"	"TENRECIDAE"	"Echinops"	"telfairi"	"Lesser Hedgehog Tenrec"	"LC"	9	0
"AFROSORICIDA"	"TENRECIDAE"	"Geogale"	"aurita"	"Large-eared Tenrec"	"LC"	10	0
"AFROSORICIDA"	"TENRECIDAE"	"Hemicentetes"	"nigriceps"	"Highland Streaked Tenrec"	"LC"	11	0
"AFROSORICIDA"	"TENRECIDAE"	"Hemicentetes"	"semispinosus"	"Lowland Streaked Tenrec"	"LC"	11	1
"AFROSORICIDA"	"TENRECIDAE"	"Limnogale"	"mergulus"	"Web-footed Tenrec, Aquatic Tenrec"	"VU"	12	0
"AFROSORICIDA"	"TENRECIDAE"	"Microgale"	"brevicaudata"	"Short-tailed Shrew Tenrec"	"LC"	13	5
"AFROSORICIDA"	"TENRECIDAE"	"Microgale"	"cowani"	"Cowan's Shrew Tenrec"	"LC"	13	6
"AFROSORICIDA"	"TENRECIDAE"	"Microgale"	"dobsoni"	"Dobson's Shrew Tenrec"	"LC"	13	7
"AFROSORICIDA"	"TENRECIDAE"	"Microgale"	"drouhardi"	"Drouhard's Shrew Tenrec, Striped Shrew Tenrec"	"LC"	13	8
"AFROSORICIDA"	"TENRECIDAE"	"Microgale"	"dryas"	"Dryad Shrew Tenrec, Tree Shrew Tenrec"	"VU"	13	2
"AFROSORICIDA"	"TENRECIDAE"	"Microgale"	"fotsifotsy"	"Pale Shrew Tenrec, Pale-footed Shrew Tenrec"	"LC"	13	9
"AFROSORICIDA"	"TENRECIDAE"	"Microgale"	"gracilis"	"Gracile Shrew Tenrec"	"LC"	13	10
"AFROSORICIDA"	"TENRECIDAE"	"Microgale"	"gymnorhyncha"	"Naked-nosed Shrew Tenrec"	"LC"	13	11
