"Order"	"Family"	"Genus"	"Species"	"Common names (Eng)"	"Red List status"	"genus-order"	"species-order"
"CROCODYLIA"	"ALLIGATORIDAE"	"Alligator"	"mississippiensis"	"American Alligator, Mississippi Alligator"	"LR/lc"	0	1
"CROCODYLIA"	"ALLIGATORIDAE"	"Alligator"	"sinensis"	"Chinese Alligator, China Alligator"	"CR"	0	0
"CROCODYLIA"	"ALLIGATORIDAE"	"Caiman"	"crocodilus"	"Common Caiman, Spectacled Caiman"	"LR/lc"	1	0
"CROCODYLIA"	"ALLIGATORIDAE"	"Caiman"	"latirostris"	"Broad-snouted Caiman"	"LR/lc"	1	1
"CROCODYLIA"	"ALLIGATORIDAE"	"Caiman"	"yacare"	"Yacaré"	"LR/lc"	1	2
"CROCODYLIA"	"ALLIGATORIDAE"	"Melanosuchus"	"niger"	"Black Caiman"	"LR/cd"	2	0
"CROCODYLIA"	"ALLIGATORIDAE"	"Paleosuchus"	"palpebrosus"	"Dwarf Caiman, Cuvier's Smooth-fronted Caiman"	"LR/lc"	3	0
"CROCODYLIA"	"ALLIGATORIDAE"	"Paleosuchus"	"trigonatus"	"Smooth-fronted Caiman, Schneider's Smooth-fronted Caiman"	"LR/lc"	3	1
"CROCODYLIA"	"CROCODYLIDAE"	"Crocodylus"	"acutus"	"American Crocodile"	"VU"	4	4
"CROCODYLIA"	"CROCODYLIDAE"	"Crocodylus"	"intermedius"	"Orinoco Crocodile"	"CR"	4	0
"CROCODYLIA"	"CROCODYLIDAE"	"Crocodylus"	"johnsoni"	"Australian Freshwater Crocodile, Johnson's Crocodile, Freshie, Johnstone's Crocodile, Johnston's Crocodile"	"LR/lc"	4	6
"CROCODYLIA"	"CROCODYLIDAE"	"Crocodylus"	"mindorensis"	"Philippines Crocodile"	"CR"	4	1
"CROCODYLIA"	"CROCODYLIDAE"	"Crocodylus"	"moreletii"	"Morelet's Crocodile, Belize Crocodile"	"LC"	4	7
"CROCODYLIA"	"CROCODYLIDAE"	"Crocodylus"	"niloticus"	"Nile Crocodile"	"LR/lc"	4	8
"CROCODYLIA"	"CROCODYLIDAE"	"Crocodylus"	"novaeguineae"	"New Guinea Crocodile"	"LR/lc"	4	9
"CROCODYLIA"	"CROCODYLIDAE"	"Crocodylus"	"palustris"	"Mugger, Muggar, Broad-snouted Crocodile, Marsh Crocodile"	"VU"	4	5
"CROCODYLIA"	"CROCODYLIDAE"	"Crocodylus"	"porosus"	"Salt-water Crocodile, Estuarine Crocodile"	"LR/lc"	4	10
"CROCODYLIA"	"CROCODYLIDAE"	"Crocodylus"	"rhombifer"	"Cuban Crocodile"	"CR"	4	2
"CROCODYLIA"	"CROCODYLIDAE"	"Crocodylus"	"siamensis"	"Siamese Crocodile"	"CR"	4	3
"CROCODYLIA"	"CROCODYLIDAE"	"Osteolaemus"	"tetraspis"	"African Dwarf Crocodile, West African Dwarf Crocodile"	"VU"	5	0
"CROCODYLIA"	"CROCODYLIDAE"	"Tomistoma"	"schlegelii"	"False Gharial, Tomistoma, Sunda Gharial, Malayan Gharial"	"EN"	6	0
"CROCODYLIA"	"GAVIALIDAE"	"Gavialis"	"gangeticus"	"Gharial, Indian Gharial, Fish-eating Crocodile, Indian Gavial, Gavial, Long-nosed Crocodile"	"CR"	7	0
"RHYNCHOCEPHALIA"	"SPHENODONTIDAE"	"Sphenodon"	"guntheri"	"Brothers Island Tuatara"	"VU"	8	0
"RHYNCHOCEPHALIA"	"SPHENODONTIDAE"	"Sphenodon"	"punctatus"	"Beak-head, Cook Strait Tuatara, Sphenodon, Tuatara"	"LR/lc"	8	1
"SQUAMATA"	"ACROCHORDIDAE"	"Acrochordus"	"arafurae"	"Arafura File Snake, Filesnake"	"LC"	9	0
"SQUAMATA"	"ACROCHORDIDAE"	"Acrochordus"	"granulatus"	"Wart Snake, Marine File Snake, Little Wartsnake, Small Warty Snake, Little Filesnake"	"LC"	9	1
"SQUAMATA"	"ACROCHORDIDAE"	"Acrochordus"	"javanicus"	"Elephant Trunk Snake, Javan File Snake, Elephant's Trunk Snake, Javan Wart Snake"	"LC"	9	2
"SQUAMATA"	"AGAMIDAE"	"Acanthocercus"	"adramitanus"	"Anderson's Rock Agama"	"LC"	10	0
"SQUAMATA"	"AGAMIDAE"	"Acanthocercus"	"annectens"	"Eritrean Rock Agama, Eritrean Ridgeback Agama"	"LC"	10	1
"SQUAMATA"	"AGAMIDAE"	"Acanthocercus"	"atricollis"	"Black-necked Agama, Blue-throated Agama, Blue-headed Tree Agama, Southern Tree Agama"	"LC"	10	2
"SQUAMATA"	"AGAMIDAE"	"Acanthocercus"	"cyanogaster"	"Black-necked Tree Agama, Blue-bellied Ridgeback Agama"	"LC"	10	3
"SQUAMATA"	"AGAMIDAE"	"Acanthocercus"	"yemensis"		"LC"	10	4
"SQUAMATA"	"AGAMIDAE"	"Acanthosaura"	"lepidogaster"	"Brown Pricklenape, Scale-bellied Tree Lizard"	"LC"	11	0
"SQUAMATA"	"AGAMIDAE"	"Agama"	"africana"		"LC"	12	0
"SQUAMATA"	"AGAMIDAE"	"Agama"	"boensis"		"LC"	12	1
"SQUAMATA"	"AGAMIDAE"	"Agama"	"boueti"	"Bouet's Agama, Mali Agama"	"LC"	12	2
"SQUAMATA"	"AGAMIDAE"	"Agama"	"boulengeri"	"Boulenger's Agama"	"LC"	12	3
"SQUAMATA"	"AGAMIDAE"	"Agama"	"cristata"	"Insular Agama"	"LC"	12	4
"SQUAMATA"	"AGAMIDAE"	"Agama"	"hispida"	"Common Spiny Agama, Southern Spiny Agama"	"LC"	12	5
"SQUAMATA"	"AGAMIDAE"	"Agama"	"impalearis"	"Bibron's Agama"	"LC"	12	6
"SQUAMATA"	"AGAMIDAE"	"Agama"	"insularis"	"Insular Agama"	"LC"	12	7
